FUENTE;FUENTE 2;FECHA;HORA;ORIGEN;DESTINO;CANTIDAD;MONTO;INFRAESTRUCTURA;INSUMOS MEDICOS;EQUIPAMIENTO;IMPLEMENTOS DE BIOSEGURIDAD;CONCEPTO;ESTADO;NOTICIA
RAZ;REDES;23/05/2020;22:16:57;GOBIERNO;BENI;;;;;OK;;COMPRA;Entregado;"#VideoNoticias
El ministro de la Presidencia, yerko_nunez, informa que este s·bado llegaron hasta Trinidad, #Beni, una de las regiones m·s afectadas por el #COVID19, equipos completos para terapia intensiva que incluyen camas, respiradores y monitores de control "
UNI;REDES;23/05/2020;20:29:40;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;Entregan equipamiento mÈdico, Ìtems y medicamentos para el departamento del Beni
BOL;REDES;24/05/2020;15:06:59;GOBIERNO;BENI;;;;OK;OK;OK;COMPRA;Entregado;"Urgente
El Gobierno nacional entregÛ el s·bado en Trinidad equipamiento mÈdico para terapia intensiva, Ìtems y medicamentos para fortalecer el sistema de salud del departamento del Beni, uno de los m·s golpeados por la pandemia del coronavirus COVID19

"
BTV;REDES;24/05/2020;21:27:15;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;"El ministro de la Presidencia, yerko_nunez, entregÛ el domingo equipamiento mÈdico, Ìtems y medicamentos para fortalecer el sistema de salud del municipio de #Riberalta del departamento del #Beni.
MinPresidencia 
"
BTV;REDES;24/05/2020;19:40:13;PRIVADO;BENI;;;;OK;;;DONACION;Entregado;"Un mÈdico junto a su esposa y un grupo de 20 personas entregan medicamentos gratis para el tratamiento contra el Covid19 a las familias trinitarias, en #Beni.
#BTVNoticias. "
RAZ;REDES;24/05/2020;20:42:17;GOBIERNO;BENI;;;;OK;OK;OK;COMPRA;Entregado;"#Beni
El Gobierno hizo la entrega de equipos elÈctricos, material de bioseguridad, medicamentos, insumos de limpieza, adem·s de  Ìtems y contratos en Riberalta. "
BTV;REDES;25/05/2020;20:22:13;GOBIERNO;BENI;;;OK;;;;COMPRA;Entregado;"El Colegio MÈdico de #SantaCruz instalÛ este lunes un centro de acopio para medicamentos e insumos de bioseguridad para apoyar en la emergencia sanitaria del #Beni. 
"
BTV;REDES;25/05/2020;20:52:37;GOBIERNO;CHUQUISACA;;35000000;;;;;DONACION;Entregado;"En su mensaje de felicitaciones a Chuquisaca por su aniversario 211, la presidenta Constitucional de #Bolivia, JeanineAnez , anunciÛ la entrega de Bs. 35 millones para la lucha contra el #coronavirus.

#Sociedad 
"
BTV;REDES;25/05/2020;19:58:39;PRIVADO;BENI;;;;OK;OK;OK;DONACION;Entregado;"La ABT junto a la C·mara Forestal iniciaron una campaÒa solidaria para ayudar al departamento del #Beni. Este miÈrcoles, 27 de mayo. enviar·n el primer lote de insumos de bioseguridad y camas para pacientes de Covid19.
"
MSA;REDES;25/05/2020;14:27:25;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;" Una comisiÛn de cinco ministros de Estado, entre ellos, la ministra de Salud #EidyRoca arribÛ a #Trinidad con insumos, equipos  y 3 avionetas ambulancias para reforzar la atenciÛn a la emergencia por #COVID19 en #Beni. 
#QuedateEnCasa "
UNI;REDES;25/05/2020;11:33:00;COCHABAMBA;BENI;;;;;;OK;COMPRA;Entregado;Cochabamba: Colegio MÈdico enviar· kit de bioseguridad al Beni con aportes propios
UNI;REDES;25/05/2020;13:26:53;CBBA;BENI;;;;;;;DONACION;Entregado;Tres avionetas con ayuda de equipos y alimentos salen de Cochabamba al Beni
BTV;REDES;26/05/2020;15:29:35;PRIVADO;ALCALDIA;;;;OK;;;COMPRA;Entregado;"La F·brica Nacional de Cemento (Fancesa), de #Sucre, entregÛ insumos de bioseguridad a la GobernaciÛn de #Chuquisaca, los cuales ser·n distribuidos en los 29 municipios del departamento.
Inf. Nelson Duran  BTV
"
BTV;REDES;26/05/2020;21:09:19;ALCALDIA;TARIJA;;;;;;OK;DONACION;Entregado;"El Comando Departamental de la PolicÌa en #Tarija distribuyÛ este martes insumos de bioseguridad a todos sus efectivos policiales.
"
BTV;REDES;26/05/2020;16:47:20;PRIVADO;BENI;;;;;;OK;DONACION;Entregado;"La organizaciÛn de voluntariado ""Mano a Mano"" envÌa insumos de bioseguridad a #Trinidad desde #Cochabamba, y asÌ poder contar con los elementos necesarios para trabajar y luchar frente al #Covid_19.
"
RAZ;REDES;26/05/2020;14:06:27;GOBIERNO;COCHABAMBA;2;;;;OK;;COMPRA;Entregado;"#EnDirecto
El ministro de Gobierno, Arturo Murillo, informa que existen 141 efectivos policiales infectados con coronavirus en todo el paÌs, a tiempo de hacer entrega de una ambulancia al Comando de la PolicÌa de #Cochabamba, adem·s de un vehÌculo para que se transporten "
RAZ;REDES;26/05/2020;16:57:29;GOBIERNO;COCHABAMBA;;;;OK;;;COMPRA;Entregado;"#EnDirecto
El ministro de Gobierno, Arturo Murillo, participa de la entrega de insumos mÈdicos en #Cochabamba para luchar contra el #coronavirus. "
RAZ;REDES;26/05/2020;18:51:55;PRIVADO;CHUQUISACA;;;;;;OK;DONACION;Entregado;"#Sucre
La F·brica Nacional de Cemento  Fancesa entregÛ insumos de bioseguridad a la GobernaciÛn de #Chuquisaca, los cuales ser·n distribuidos en los 29 municipios del departamento. VÌa #BoliviaTV "
UNI;REDES;26/05/2020;00:54:06;GOBIERNO;SCZ;;;;;OK;;DONACION;Entregado;Entregaron donaciÛn para el Hospital JaponÈs y habilitar·n 78 Unidades de Terapia Intensiva
MSA;REDES;27/05/2020;17:35:35;GOBIERNO;BENI;;;;;;;COMPRA;Entregado;" La ministra #EidyRoca informa que 600 contratos ya fueron entregados para mÈdicos, especialistas, enfermeras y personal en salud en #Trinidad, #GuayaramerÌn y #Riberalta, principalmente.  
#QuedateEnCasa 
#UnidosPorLaSaludYLaVida "
MSA;REDES;27/05/2020;17:45:24;GOBIERNO;BENI;11;;OK;;OK;;COMPRA;Entregado;Min. #EidyRoca: úHasta ahora se entregÛ 11 equipos completos convencionales para UTI, con camas especiales, pantallas de control y respiradores, un ecÛgrafo y tomÛgrafo que no se tenÌa en #Beni, se habilitÛ un hospital militar de campaÒa con camas y tres ambulancias aÈreasù. 
RAZ;REDES;27/05/2020;17:18:03;GOBIERNO;BENI;VARIOS;;;OK;OK;;COMPRA;Entregado;"
La Ministra de Salud dice que se entregaron 11 equipos de terapia intensiva en #Beni, se habilitÛ un hospital de campaÒa con 160 camas y la operaciÛn de 3 avionetas ambulancias para trasladar pacientes. ""Se trata de la movilizaciÛn m·s grande del paÌs"", seÒala "
RAZ;REDES;28/05/2020;17:11:17;SANTA CRUZ;BENI;;;OK;OK;;OK;DONACION;Entregado;"#EnDirecto
La ayuda recaudada en #SantaCruz, para el departamento del #Beni, parte en un primer camiÛn; entre los insumos se incluyen 20 camas quir˙rgicas y medicamentos "
RAZ;REDES;28/05/2020;14:34:59;CHINA;SANTA CRUZ;;;;;;OK;DONACION;Entregado;"#ENDirecto
Santa Cruz recibe equipos de bioseguridad de China. "
BTV;REDES;29/05/2020;16:46:03;GOBIERNO;PANDO;;;;;;OK;COMPRA;Entregado;"Desde el Gobierno Municipal de #Cobija se entregÛ insumos de bioseguridad para la policÌa de la regiÛn, que dÌa a dÌa sale a las calles para controlar el cumplimiento de la cuarentena. 
"
BTV;REDES;29/05/2020;13:05:47;ALCALDIA;COCHABAMBA;;;;OK;;OK;COMPRA;Entregado;"El comando departamental de #Cochabamba realiza la entrega de insumos de bioseguridad como barbijos, alcohol en gel y productos de aseo a efectivos para fortalecer la InstituciÛn Verde Olivo en la lucha contra el #coronavirus.
#Salud
"
DEB;REDES;29/05/2020;02:10:14;ALCALDIA;COCHABAMBA;1;2000000;;;OK;;COMPRA;Entregado;"TambiÈn puedes leer:

 Quillacollo gestiona la compra de un horno para cremar fallecidos del coronavirus que cuesta Bs 2.000.000 ª "
RAZ;REDES;29/05/2020;16:54:32;LA PAZ;BENI;;;;OK;OK;;DONACION;Entregado;"
Llega otro aviÛn con insumos mÈdicos y personal de salud a #Trinidad "
UNI;REDES;29/05/2020;11:56:55;GOBIERNO;LA PAZ;;;;;OK;;COMPRA;Entregado;Instalan equipos para albergue por casos Covid en un colegio de Alto San Pedro
BTV;REDES;30/05/2020;20:46:54;GOBIERNO;SANTA CRUZ;1;;OK;;;;COMPRA;Entregado;"#Salud 
Autoridades de Gobierno entregaron a la GobernaciÛn de #SantaCruz el hospital de Montero el s·bado, que podr· atender· a pacientes con coronavirus hasta en un m·ximo de 72 horas, como lo anunciÛ el ministro de Gobierno, Arturo Murillo.
"
BTV;REDES;30/05/2020;16:04:28;GOBIERNO;BENI;;;;;OK;;COMPRA;Entregado;"Con el objetivo de apoyar al sector de salud en #Beni, el Gobierno central realizÛ la entrega de tanques mÛviles de oxÌgeno en #Trinidad, desde donde se podr· hacer la distribuciÛn a distintos sectores del departamento. 
"
MSA;REDES;30/05/2020;19:14:20;GOBIERNO;BENI;32;;OK;;;;COMPRA;Entregado;" Ministra #EidyRoca: ""El Hospital de 3er Nivel #Montero tiene capacidad de 200 camas, pero la entrega inicial se est· haciendo con 32 camas con toda la instalaciÛn de terapia intensiva"".

Unidos por la salud y la vida

#TeCuidasMeCuido
#DependeDeTi "
RAZ;REDES;30/05/2020;15:43:07;GOBIERNO;BENI;;;;;OK;;COMPRA;Entregado;"#EnDirecto
El Gobierno entrega tanques de oxÌgeno mÛviles en #Trinidad, #Beni, los mismos que ser·n distribuidos a los diferentes municipios. "
RAZ;REDES;30/05/2020;19:50:30;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;"#EnDirecto
El Ministro de la Presidencia entrega un respirador y otros insumos mÈdicos al Hospital de San Borja, en #Beni. El director de ese nosocomio invita a los mÈdicos anestesiÛlogos que deseen ir a trabajar a esa regiÛn, ya que cuentan con un Ìtem otorgado por el Gobierno "
UNI;REDES;30/05/2020;23:47:08;GOBIERNO;BENI;;;OK;;;;COMPRA;Entregado;Dos domos son entregados en Trinidad para la atenciÛn de casos de coronavirus
UNI;REDES;30/05/2020;23:13:52;GOBIERNO;BENI;;;;;;;COMPRA;Entregado;El Gobierno entra equipos de bioseguridad, medicamentos e Ìtems a San Borja
BTV;REDES;31/05/2020;01:15:14;LA PAZ;BENI;;;;;OK;;DONACION;Entregado;"En minutos te resumimos el recorrido que realizaron las 10 ambulancias que partieron de #LaPaz el pasado jueves y que hoy llegaron a Trinidad para reforzar el equipo de salud en #Beni, tierra que hoy enfrenta un n˙mero elevado de casos de #coronavirus.
"
RAZ;REDES;31/05/2020;21:11:36;GOBIERNO;BENI;;;;OK;OK;OK;COMPRA;Entregado;Un aviÛn con 6.2 toneladas de insumos y medicinas llegÛ este domingo a #Trinidad para ser distribuido en San Borja, GuayaramerÌn y el Centro de Aislamiento #COVID19, informÛ el ministro de Defensa, Fernando LÛpez. VÌa mincombolivia 
UNI;REDES;31/05/2020;00:08:36;GOBIERNO;SCZ;;;;;;;COMPRA;Entregado;Entregan Hospital de tercer nivel en Montero, tiene capacidad para 200 camas
RAZ;REDES;01/06/2020;16:08:31;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"
El ministro de Trabajo, ”scar Mercado, hace entrega de equipos de bioseguridad a once municipios de #Cochabamba. "
RAZ;REDES;02/06/2020;13:12:14;GOBIERNO;COCHABAMBA;;;;;;;COMPRA;Entregado;"#VideoNoticias
La gobernadora de #Cochabamba, Esther Soria, entrega un lote de insumos al municipio de Colomi y anuncia la transferencia de recursos a travÈs de un convenio. "
BTV;REDES;03/06/2020;20:27:15;ALCALDIA;ORURO;;;OK;;OK;;COMPRA;Entregado;"El director del Sedes #Oruro, Henry Tapia, informÛ que se prevÈ la entrega de la unidad de terapia intensiva del Hospital General de la capital orureÒa sea el lunes, centro que contar· con 21 camas.

#Salud 
"
BTV;REDES;04/06/2020;18:41:42;GOBIERNO;POTOSI;;;;OK;;;DONACION;Entregado;"El Ministerio de Salud entregÛ reactivos a #PotosÌ para pruebas de #coronavirus en laboratorios GeneXpert para poder realizar detecciones r·pidas del #Covid19.

#Salud 
"
BTV;REDES;04/06/2020;13:37:01;ALCALDIA;BENI;100;;;OK;;;COMPRA;Entregado;"La GobernaciÛn del #Beni hace la entrega de 100 tubos de oxÌgeno al hospital centinela en #Riberalta, para la atenciÛn de pacientes ante la emergencia sanitaria. Atendiendo las necesidades de los mÈdicos que se encuentran en primera lÌnea ante esta pandemia.
#Salud
"
DEB;REDES;04/06/2020;01:27:45;PRIVADO;SANTA CRUZ;;;OK;;OK;;COMPRA;Entregado;"El centro hospitalario cuenta con 34 camas y terapia intensiva con 12 camas. La empresa constructora Makiber es la responsable de la edificaciÛn de la obra, cuya entrega est· prevista para noviembre de este aÒo, seg˙n la firma del contrato
"
DEB;REDES;04/06/2020;00:03:03;ALCALDIA;LA PAZ;;;;OK;;OK;DONACION;Entregado;Una brigada con cuatro mÈdicos, remedios, equipos de bioprotecciÛn y vÌveres se trasladÛ hasta el municipio indÌgena  
RAZ;REDES;04/06/2020;16:47:14;GOBIERNO;ORURO;800;;;OK;;;DONACION;Entregado;"#EnDirecto
#Oruro recibe 800 reactivos para el laboratorio que realiza pruebas del #COVID19, estiman que tras realizar algunos ensayos experimentales, desde el lunes pueda entrar en funcionamiento "
RAZ;REDES;04/06/2020;15:09:14;GOBIERNO;POTOSI;800;;;OK;;;DONACION;Entregado;"
El Gobierno entrega 800 reactivos para el laboratorio que realiza las pruebas de coronavirus en #PotosÌ, similar entrega se har· en 15 dÌas "
RAZ;REDES;04/06/2020;12:48:09;ALCALDIA;BENI;100;;;;;;COMPRA;Entregado;"#EnDirecto
La GobernaciÛn del #Beni entrega 100 tanques de oxÌgeno al Hospital Centinela de #Riberalta, y una cantidad similar enviÛ al municipio de GuayaramerÌn "
BTV;REDES;05/06/2020;13:17:43;PRIVADO;POBLACION;;;;;;OK;COMPRA;Entregado;"El gerente tÈcnico de EMSA de #Cochabamba, MoisÈs Atue, dota de equipos de bioseguridad a personal que trabaja en el recojo de la basura con las medidas sanitarias adecuadas debido a que constantemente est·n expuestos al virus.
#Salud
"
MSA;REDES;05/06/2020;13:34:00;GOBIERNO;ORURO / POTOSI;1600;;;OK;;;COMPRA;Entregado;" #Laboratorios GeneXpert de PotosÌ y Oruro recibieron 1.600 reactivos para toma de pruebas #COVID19

Lee la nota completa en: "
RAZ;REDES;05/06/2020;00:32:11;GOBIERNO;SANTA CRUZ;;;;;;;COMPRA;Entregado;"Personal del Sedes de Santa Cruz trasladan insumos y medicamentos al hospital para que empiece a prestar servicios en las prÛximas horas. Inicialmente se atender· solo a pacientes con sÌntomas leves
"
RAZ;REDES;06/06/2020;17:49:41;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;"#Bolivia
El ministro de la Presidencia, Yerko N˙Òez informÛ este s·bado que se realizÛ la entrega de 700 pruebas para detectar #COVID19, 22 toneladas de alimentos y equipos para reforzar las brigadas mÈdicas en GuayaramerÌn, #Beni. "
BTV;REDES;07/06/2020;01:23:05;GOBIERNO;BENI;;;;;;OK;COMPRA;Entregado;" El ministro de la Presidencia, Yerko N˙Òez, entregÛ ocho Ìtems en salud e insumos de bioseguridad para el municipio de #GuayaramerÌn. 
"
BTV;REDES;07/06/2020;21:39:50;GOBIERNO;LA PAZ;;;;;;OK;COMPRA;Entregado;"El ministro de Obras P˙blicas, Iv·n Arias, entregÛ este domingo insumos de bioseguridad al municipio de Caquiaviri, en #LaPaz, para que sean distribuidos en sus centros de salud y resaltÛ la buena atenciÛn y equipamiento en sus hospitales.
"
BTV;REDES;07/06/2020;19:46:30;TAIWAN;SANTA CRUZ;10;;;;OK;;DONACION;Entregado;"La fundaciÛn Tzu Chi de #Taiw·n entregÛ 10 respiradores e insumos al Gobierno Municipal de #SantaCruz para que sean distribuidos a los hospitales.
"
BTV;REDES;08/06/2020;14:24:24;ALCALDIA;TARIJA;;;;;;OK;COMPRA;Entregado;"Con el objetivo de proteger a los efectivos policiales, desde el Comando Departamental de la PolicÌa de #Tarija entrega material de bioseguridad. 
"
BTV;REDES;08/06/2020;12:34:17;GOBIERNO;COCHABAMBA;;;;OK;;;COMPRA;Entregado;"La ministra de Medio Ambiente y Agua, MarÌa Elva Pinckert, informÛ que se llevan medicamentos a cinco comunidades vulnerables del Tipnis para que cuenten con insumos por si llegara a presentarse alg˙n caso de #coronavirus.
#Salud
"
UNI;REDES;08/06/2020;17:49:43;ALCALDIA;SANTA CRUZ;;;OK;;;;COMPRA;Entregado;AlcaldÌa cruceÒa entrega centro de salud para atender policÌas con Covid
SICOES;ESTATAL;17/03/2020;;Gobierno Autonomo Municipal De Quillacollo;COCHABAMBA;;;;;;OK;CM;Contratado;Compra Urgente De Material De Bioseguridad Covid-19 Para El Personal Del Hospital Dr. Benigno Sanchez De Quillacollo
SICOES;ESTATAL;26/03/2020;;Gobierno Autonomo Regional Del Gran Chaco;TARIJA;;;;OK;OK;;CM;Contratado;Adquisicion De Instrumental Medico, Insumos Y Equipamiento Medico Para La Sala De Aislamiento En El Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid-19)
SICOES;ESTATAL;01/04/2020;;Gobierno Autonomo Municipal De Quillacollo;COCHABAMBA;;;;;;OK;CM;Contratado;Compra De Barbijos Descartables Por Emergencia Para Prevencion Del Covid-19 Para El Hospital Benigno Sanchez
SICOES;ESTATAL;06/04/2020;;Gobierno Autonomo Regional Del Gran Chaco;TARIJA;;;;;OK;;CM;Contratado;Adquisicion De 8 Camas Hospitalarias De Dos Movimientos Para La Sala De Aislamiento Del Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid - 19)
SICOES;ESTATAL;06/04/2020;;Gobierno Autonomo Municipal De Villamontes;TARIJA;;;;OK;;;CM;Contratado;Adqusicion De Emergencia De Insumos Medicos Coronavirus Covid - 19 Gestion 2020 Municipio De Villa Montes
SICOES;ESTATAL;06/04/2020;;Gobierno Autonomo Regional Del Gran Chaco;TARIJA;;;;;OK;;CM;Contratado;Adquisicion De 7 Camas Hospitalarias De Dos Movimientos Para La Sala De Aislamiento Del Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid - 19)
SICOES;ESTATAL;07/04/2020;;Gobierno Autonomo Municipal De Huanuni (Villa Huanuni);ORURO;;;;;;OK;CM;Contratado;Adquisicion De Material De Insumos De Prevencion Covid - 19 Mascarillas, Guantes, Mandil, Juegos De Bata Gorra Y Barbijo, Jabon Liquido, Bolsa De Plastico Y Alcohol En Gel
SICOES;ESTATAL;08/04/2020;;Gobierno Autonomo Municipal De Tupiza;POTOSI;;;;OK;;;CM;Contratado;Insumos Para Establecimientos De Salud Del G.A.M.T. Prevencion Covid - 19
SICOES;ESTATAL;08/04/2020;;Gobierno Autonomo Municipal De Quillacollo;COCHABAMBA;;;;;;OK;CM;Contratado;Compra De Material De Bioseguridad Covid -19 Coronavirus Para Los Diferentes Centros De Salud De Primer Nivel
SICOES;ESTATAL;09/04/2020;;Gobierno Autonomo Municipal De Santisima Trinidad;BENI;;;;OK;;;CD;Contratado;Adquisicion De Insumos Medicos D.S. N„?¬∞ 4174 (Emergencia De Salud Publica De Importancia Internacional Provocadas Por El Coronavirus Covid-19) Municipio De Trinidad Gestion 2020
SICOES;ESTATAL;13/04/2020;;Gobierno Autonomo Municipal De La Asunta;LA PAZ;;;;;;OK;CM;Contratado;"Prevencion, Control Y Atencion Del Coronavirus ""Adquisici„?N De Batas Descartables, Guantes De Nitrilo Y Cubre Botas Desechables Para Atenci„?N Del Coronavirus (Covid-19), Primera Compra, Gesti„?N 2020?"
SICOES;ESTATAL;13/04/2020;;Gobierno Autonomo Municipal De La Asunta;LA PAZ;;;;;;OK;CM;Contratado;"Prevencion, Control Y Atencion Del Coronavirus ""Adquisicion De Mamelucos De Bioseguridad, TermÚmetros Infrarrojos, Gorros Desechables Y Purificador De Aire Para AtenciÚn Del Coronavirus (Covid-19), Primera Compra, GestiÚn 2020?"
SICOES;ESTATAL;14/04/2020;;Gobierno Autonomo Municipal De Vinto;COCHABAMBA;;;;;;OK;CM;Contratado;Compra De Desinfectante Para Pisos Y Paredes Para Centros De Salud Y Hospital Municipal Vinto Para La Pandemia Covid - 19
SICOES;ESTATAL;14/04/2020;;Gobierno Autonomo Municipal De Vinto;COCHABAMBA;;;;;;OK;CM;Contratado;Compra De Desinfectantes Para Centros De Salud Y Hospital Municipal Vinto Para La Pandemia Covid-19
SICOES;ESTATAL;14/04/2020;;Gobierno Autonomo Municipal De El Puente - Trj;TARIJA;;;;;;OK;CM;Contratado;Adquisicion De Equipos E Insumos De Bioseguridad Para El Control Y Prevencion Del (Covid-19) - Municipio El Puente
SICOES;ESTATAL;15/04/2020;;Gobierno Autonomo Municipal De La Asunta;LA PAZ;;;;;OK;;CM;Contratado;"PrevenciÛn, Control Y Atencion Del Coronavirus ""Adquisicion De Equipos Y Material De Limpieza, Para PrevenciÚn Del Coronavirus (Covid-19), Primera Compra, GestiÚn 2020?"
SICOES;ESTATAL;15/04/2020;;Gobierno AutÛnomo Departamental De Cochabamba;COCHABAMBA;;;;;;OK;CD;Contratado;Adquisicion De Guantes Y Gorros Para La Atencion De Covid 19
SICOES;ESTATAL;15/04/2020;;Gobierno AutÛnomo Departamental De PotosÌ;POTOSI;;;;;;OK;CD;Contratado;"""Primera Compra De Material De Limpieza Y Productos Quimicos Y Farmaceuticos (Barbijos, Guantes Quirurgicos, Gorros Desechables, Sanitizador Alcohol En Gel De 400 Grs) Para La Primera Quincena Del Mes De Abril Y La Prevencion Del Coronavirus Covid-19"""
SICOES;ESTATAL;15/04/2020;;Gobierno AutÛnomo Departamental De PotosÌ;POTOSI;;;;;OK;;CD;Contratado;"""Adquisicion De Herramienta (Motofumigadora) Para La Prevencion De La Emergencia Sanitaria Covid-19"""
SICOES;ESTATAL;17/04/2020;;Gobierno Autonomo Municipal De El Puente - Trj;TARIJA;;;;;;OK;CM;Contratado;Adquisicion De Trajes De Bioseguridad Para El Control Y Prevencion Del (Covid-19) - Municipio El Puente
SICOES;ESTATAL;17/04/2020;;Gobierno Autonomo Municipal De El Puente - Trj;TARIJA;;;;;;OK;CM;Contratado;Dotacion De Equipos De Bioseguridad Para El Control Y Prevencion Del (Covid-19) Municipio El Puente
SICOES;ESTATAL;18/04/2020;;Gobierno AutÛnomo Departamental De Cochabamba;COCHABAMBA;;;;OK;;;CD;Contratado;Adquisicion De Insumos Para La Atencion De Pacientes Con Covid 19 (Mameluco, Batas Antideslizantes)
SICOES;ESTATAL;19/04/2020;;Gobierno AutÛnomo Departamental De Cochabamba;COCHABAMBA;;;;;OK;;CM;Contratado;Adquisicion De Circuito Cerrado P/Aspircion Traqueal Adulto D/14fr Libre De/Latex-Covidien (444spo1114) Para El Almacen De Farmacia Del Hospital Clinico Viedma
SICOES;ESTATAL;20/04/2020;;Direccion Administrativa Y Financiera - Organo Judicial - Oruro;ORURO;;;;;OK;;CD;Contratado;Camaras De Desinfeccion Para El Organo Judicial Oruro Para Prevencion Del Covid-19
SICOES;ESTATAL;21/04/2020;;Gobierno Autonomo Municipal De Sipe Sipe;COCHABAMBA;;;;;;OK;CM;Contratado;Compra De Materiales E Insumos De Bioseguridad Para La Prevencion Del Coronavirus (Covid-19)
SICOES;ESTATAL;21/04/2020;;Gobierno Autonomo Municipal De Sacaba;COCHABAMBA;;;;;;OK;OF;Contratado;Prevencion, Control Y Atencion Del Coronavirus (Adquisicion De Barbijos Y Mamelucos Enterizos Para La Prevencion Contra El Covid-19)
SICOES;ESTATAL;21/04/2020;;Gobierno Autonomo Municipal De Sacaba;COCHABAMBA;;;;;;OK;OF;Contratado;Prevencion, Control Y Atencion Del Coronavirus (Adquisicion De Ropa De Proteccion Contra El Covid-19)
SICOES;ESTATAL;21/04/2020;;Gobierno Autonomo Municipal De Sacaba;COCHABAMBA;;;;;OK;;OF;Contratado;Adquisicion De Alcohol En Gel Para Prevencion Del Covid-19
SICOES;ESTATAL;21/04/2020;;Gobierno Autonomo Municipal De Mizque;COCHABAMBA;;;;OK;;;CD;Contratado;Compra De Insumos Para Barreras De Proteccion Contra El Covid-19
SICOES;ESTATAL;21/04/2020;;Gobierno AutÛnomo Departamental De PotosÌ;POTOSI;;;;;;OK;CD;Contratado;Compra Material De Limpieza (Lavandina Bote De 5lt.), Sanitizador En Gel (Bote De 360 Grs.), Alcohol En Gel (Bote De 5 Lt.) Y Otros Para La Prevencion De La Emergencia Sanitaria Covid -19
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De Guayaramerin;BENI;;;;OK;;;CM;Contratado;Compra De Productos Quimicos Y Farmaceuticos (Insumos Medicos) Para Los Establecimientos De Salud De 1er Y 2do Nivel Promocion Y Prevencion Covid - 19 Correspondiente A La Gestion 2020
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De La Asunta;LA PAZ;;;;;;OK;CM;Contratado;"Prevencion, Control Y Atencion Del Coronavirus ""Adquisicion De Barbijo N∫ 95, Protector Facial Y Guantes De Nitrilo Para AtenciÚn Del Coronavirus (Covid-19), GestiÚn 2020?"
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De Santisima Trinidad;BENI;;;;;OK;;EM;Contratado;Adquisicion De Aires Acondicionados Y Heladeras Para El Centro Centinela Conforme A La Ley Que Declara Prioridad Municipal La Lucha Contra El Corona Virus - Covid-19
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De La Asunta;LA PAZ;;;;;OK;;CD;Contratado;"PrevenciÛn, Control Y AtenciÚn Del Coronavirus ""AdquisiciÛn De Mobiliario Y Equipamiento MËdico Para AtenciÛn Del Coronavirus (Covid-19), Primera Compra, GestiÛn 2020"""
SICOES;ESTATAL;23/04/2020;;Servicio Departamental De Salud Chuquisaca;CHUQUISACA;;;;;;OK;CD;Contratado;Adquisicion De Ropa De Trabajo Para El Fortalecimiento De Capacidades De Las Redes De Salud Para La Atencion De Pacientes Con Sospecha Del Coronavirus Covid - 19
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De Santisima Trinidad;BENI;;;;;OK;;EM;Contratado;Adquisicion De Equipamiento Medico Y De Laboratorio Ley Que Declara Prioridad Municipal La Lucha Contra El Coronavirus - Covid 19 En El Municipio De Trinidad
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De El Puente - Trj;TARIJA;;;;OK;;;CM;Contratado;Aquisicion De Productos Quimicos, Material De Limpieza E Higiene Para Puestos De Salud Y Puestos De Control Para La Prevencion Del (Covid-19) - Municipio El Puente
SICOES;ESTATAL;23/04/2020;;Gobierno Autonomo Municipal De Uriondo (Concepcion);TARIJA;;;;;OK;;CM;Contratado;Prevencion ,Control Y Atencion Al Coronavirus -Material Mobiliario Para Centro De Aislamiento Para Centro De Aislamiento Para Paciente Sospechosos Del Covid -19
SICOES;ESTATAL;24/04/2020;;Gobierno Autonomo Municipal De Carapari;TARIJA;;;OK;;;;CM;Contratado;Mantenimiento Insfraestructura De Salud 2da Seccion (Mantenimiento Y Acondicionamiento Hospital Virgen De Guadalupe Area Para Pacientes Covid-19)
SICOES;ESTATAL;24/04/2020;;Gobierno Autonomo Municipal De Villamontes;TARIJA;;;;;OK;;CD;Contratado;Adquisicion De Camas De Internacion Para El Centro De Observacion Por Coronavirus Covid - 19 Municipio De Villa Montes
SICOES;ESTATAL;24/04/2020;;Gobierno Autonomo Municipal De Santa Cruz De La Sierra;SANTA CRUZ;;;;OK;;;CD;Contratado;Cd N„??√?¬∞03/2020 Adquisicion De Insumos Para La Atencion De La Emergencia Por Coronavirus Covid-19 En Hospitales Y Redes De Salud - Sms
