FUENTE;FUENTE 2;FECHA;HORA;ORIGEN;DESTINO;CANTIDAD;MONTO;INFRAESTRUCTURA;INSUMOS MEDICOS;EQUIPAMIENTO;IMPLEMENTOS DE BIOSEGURIDAD;CONCEPTO;ESTADO;NOTICIA
MSA;REDES;17/04/2020;14:25:35;PRIVADO;GOBIERNO;;27000;;;OK;;DONACION;Entregado;" BancoBisa realizÛ la entrega de un sistema de ventilaciÛn convencional invasivo y no invasivo a , valorizado en m·s de $us 27 mil para mejorar los servicios de atenciÛn en salud.


"
BOL;REDES;18/04/2020;05:38:17;GOBIERNO;POBLACION;200;;;;;OK;COMPRA;Entregado;Adem·s entregaron 200 trajes de bioseguridad 
RED;REDES;18/04/2020;17:03:55;EEUU;GOBIERNO;;750000 $;;;;;DONACION;Entregado;"El gobierno de los Estados Unidos, mediante su Departamento de Estado, oficializÛ una donaciÛn valuada en $us. 750.000 destinada para la salud en Bolivia. 
La informaciÛn fue dada a conocer por el embajador boliviano de Ciencia, TecnologÌa e InnovaciÛn, Mohammed M. "
BTV;REDES;20/04/2020;22:04:16;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"#POL√çTICALa presidenta Jeanine √ÅÒez arribÛ el lunes a la ciudad de #Cochabamba para entregar Ìtems de salud e insumos de bioseguridad, en la oportunidad  pidiÛ a las autoridades de los gobiernos subnacionales asumir tambiÈn su responsabilidad.
"
MSA;REDES;20/04/2020;18:24:11;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"""Agradecemos al personal de salud que arriesga la vida para cuidar la vida de otro, tenemos la obligaciÛn de brindarles protecciÛn"", Pdta. #Jeanine√ÅÒez en entrega de 350 Ìtems e insumos de bioseguridad en #Cochabamba,  junto al ministro #MarceloNavajas y otras autoridades. "
MSA;REDES;20/04/2020;21:51:01;GOBIERNO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;"Gobierno entrega 350 Ìtems e insumos de bioseguridad para hospitales de #Cochabamba 
"
BTV;REDES;21/04/2020;17:18:44;GOBIERNO;CHUQUISACA;12;;;;OK;;COMPRA;Entregado;"#SALUD 
Para fortalecer la lucha contra el #coronavirus en el paÌs, es que se ultiman los detalles para la llegada de 12 equipos de terapia intensiva para la siguiente semana, en el departamento de #Chuquisaca.
"
MSA;REDES;22/04/2020;14:40:56;FUNDACION;GOBIERNO;;;;OK;OK;OK;DONACION;Entregado;" La canciller #KarenLongaric y el ministro de Salud #MarceloNavajas reciben donaciÛn de VisiÛn Mundial y la FundaciÛn Hivos, entre equipos hospitalarios de bioseguridad y elementos destinados al diagnÛstico en laboratorios. 
#QuedateEnCasa "
RED;REDES;22/04/2020;23:17:20;GOBIERNO;SANTA CRUZ;100;;;;OK;;COMPRA;Entregado;"La GobernaciÛn cruceÒa anunciÛ que la prÛxima semana llegar·n al departamento m·s de 100 respiradores artificiales, camas para terapias intensivas, monitores, bombas de infusiÛn, entre otros equipos. 

"
UNI;REDES;22/04/2020;15:22:30;FUNDACION;GOBIERNO;;21000000;;;;OK;DONACION;Entregado;Gobierno recibe DONACI”Nes de equipos de bioseguridad valuadas en Bs
MSA;REDES;23/04/2020;15:02:23;PRIVADO;POBLACION;;;;;;OK;DONACION;Entregado;" El Instituto Nacional del TÛrax en #LaPaz recibe insumos y equipos de bioseguridad entregados por el  y #BancoBisa. 
 "
MSA;REDES;23/04/2020;14:09:12;GOBIERNO;LA PAZ;;;OK;;;;COMPRA;Entregado; El Vicemin. de #MedicinaTradicional, Felipe Quilla, inaugurÛ en la plaza Garita de Lima de #LaPaz una c·mara de desinfecciÛn que utiliza vapor a base de plantas naturales como el eucalipto, wira wira y manzanilla, como una medida de prevenciÛn de afecciones respiratorias 
BOL;REDES;30/04/2020;15:56:50;GOBIERNO;POBLACION;50000;;;;;OK;COMPRA;Entregado;"El ministro Yerko N˙Òez realizÛ la entrega de 50 mil barbijos a la policÌa boliviana

"
UNI;REDES;30/04/2020;18:08:58;PRIVADO;BENI;;;;;;OK;DONACION;Entregado;Hugo Dellien entregÛ equipos de biseguridad en Trinidad
UNI;REDES;04/05/2020;01:09:34;GOBIERNO;BENI;;;;OK;;;COMPRA;Entregado;Entregaron insumos mÈdicos para Trinidad, cumple su primer dÌa de encapsulamiento
MSA;REDES;08/05/2020;19:27:23;OPS/OMS;GOBIERNO;;;;OK;OK;;DONACION;Entregado;"  recibiÛ la donaciÛn de equipamiento e insumos mÈdicos para reforzar la atenciÛn en salud, por parte de OPSOMSBolivia. 


"
MSA;REDES;08/05/2020;18:44:50;KOICA;GOBIERNO;11;;;OK;;;DONACION;Entregado;" El Ministro de Salud, Dr. #MarceloNavajas, recibiÛ la donaciÛn de 11 kits de extracciÛn ARN por parte de la Agencia de CooperaciÛn Internacional de Corea en Bolivia #KOICA, para reforzar la capacidad de #diagnÛstico de #COVID19.


"
UNI;REDES;08/05/2020;11:48:21;GOBIERNO;COCHABAMBA;2000;;;OK;;;DONACION;Entregado;La UMSS de Cochabamba recibiÛ donaciÛn de 2 mil reactivos para pruebas Covid
UNI;REDES;08/05/2020;21:21:30;TAIWAN;SANTA CRUZ;8;;;;OK;;DONACION;Entregado;Taiw·n enviÛ ocho respiradores a Santa Cruz como donaciÛn para combatir el Covid19
BOL;REDES;09/05/2020;01:59:48;;BENI;;;;OK;;;COMPRA;Entregado;El centro de salud central de la ciudad de Trinidad recibiÛ los insumos 
BTV;REDES;09/05/2020;14:29:13;GOBIERNO;POBLACION;70 TN;;;OK;OK;OK;COMPRA;Entregado;"#SALUD 
El jefe nacional de EpidemiologÌa del Ministerio de Salud, V. Prieto, informÛ que llegaron al paÌs 70 toneladas de medicamentos y equipos para fortalecer la lucha contra la pandemia global del #COVID19. 
"
MSA;REDES;09/05/2020;02:18:21;GOBIERNO;POBLACION;70 TN;;;OK;OK;OK;COMPRA;Entregado;" El jefe Nal. de la U. de EpidemiologÌa #VirgilioPrieto informa que 70 toneladas de medicamentos, reactivos, insumos de bioseguridad y respiradores partieron hoy a los nueve departamentos del paÌs para reforzar la atenciÛn a la emergencia por el #COVID19
 "
MSA;REDES;10/05/2020;19:09:50;GOBIERNO;BENI;;;;OK;;;COMPRA;Entregado;" El ministro de la Presidencia, Yerko N˙Òez, entregÛ ocho Ìtems en salud e insumos de bioseguridad para el municipio de #GuayaramerÌn. 
"
UNI;REDES;12/05/2020;20:03:13;ALCALDIA;POTOSI;;;;;;OK;COMPRA;Entregado;Alcalde de PotosÌ distribuyÛ equipos de bioseguridad en varios centros de salud
MSA;REDES;13/05/2020;21:35:24;GOBIERNO;POBLACION;170;;;;OK;;COMPRA;Entregado;"Min. #MarceloNavajas: ""Un aviÛn llega maÒana con 170 respiradores digitales de ˙ltima generaciÛn. Hasta mediados de junio tendremos los 500 respiradores y se distribuir· a hospitales seg˙n la cantidad de casos de #COVID19"", #AsuntosCentrales

#QuedateEnCasa 
"
BOL;REDES;14/05/2020;23:48:12;GOBIERNO;POBLACION;;;;OK;;;COMPRA;Entregado;" Gobierno deroga disposiciÛn adicional de D.S. 4231
 Entregan ivermectina para pacientes con Covid19

"
BTV;REDES;14/05/2020;20:57:44;AIDISA;CHUQUISACA;;1400000;;;OK;OK;COMPRA;Entregado;La empresa AIDISA Bolivia S.A. realizÛ este jueves la entrega de camas hospitalarias e insumos de bioseguridad a los hospitales del departamento de #Chuquisaca, material donado que asciende a una inversiÛn aproximadamente de 1.4 millones de bolivianos. 
BTV;REDES;14/05/2020;21:15:37;GOBIERNO;BENI;;;;;OK;;COMPRA;Entregado; En #Yacuiba, #Tarija, se equipa el Hospital de tercer nivel úFray Quebrachoùcon equipos para terapia intensiva. 
RAZ;REDES;14/05/2020;13:11:06;POLICIA;POLICIA;;;;;;OK;COMPRA;Entregado;"#Bolivia
El comandante de la PolicÌa dotÛ equipos de bioseguridad a los efectivos que son parte de la primera lÌnea de la lucha contra el COVID19.
 "
RAZ;REDES;14/05/2020;22:58:52;GOBIERNO;POBLACION;170;;;;OK;;COMPRA;Entregado;"#Lo⁄ltimo 
Este jueves arribÛ al aeropuerto de Viru Viru de #SantaCruz un lote de 170 respiradores artificiales y otros equipos para la atenciÛn de pacientes con #COVID19. Los equipos fueron trasladados al Hospital JaponÈs. 
VÌa: ABI "
RAZ;REDES;14/05/2020;15:25:40;ALCALDIA;LA PAZ;;;OK;;;;DONACION;Entregado;El Hotel Deportivo de la GobernaciÛn y el Sedede de La Paz, en Alto Obrajes, est· listo para su entrega e inauguraciÛn. En principio ser· puesto a disposiciÛn de la emergencia sanitaria por el #COVID19. 
UNI;REDES;14/05/2020;20:39:02;SUECIA;EL ALTO;;;;;;OK;DONACION;Entregado;CooperaciÛn Sueca entrega a AlcaldÌa de El Alto insumos de bioseguridad para fumigado y limpieza
BTV;REDES;15/05/2020;20:23:23;GOBIERNO;POTOSI;;;;;;OK;COMPRA;Entregado; ArribÛ este viernes a #PotosÌ equipos de bioseguridad para el centro de atenciÛn de pacientes con #coronavirus úCruenù y se fortalece al personal mÈdicos y hospitales, la ayuda proviene del Ministerio de Salud. 
BTV;REDES;15/05/2020;16:18:27;PRIVADO;COCHABAMBA;;;;;;OK;COMPRA;Entregado;La Iglesia CatÛlica y la Universidad CatÛlica Boliviana de #Cochabamba realizan la entrega de equipos de bioseguridad en apoyo al personal de salud del hospital centinela Solomon Klein. 
BTV;REDES;15/05/2020;21:46:41;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;"La presidenta Constitucional, JeanineAnez, realizÛ la entrega de equipamiento mÈdico e insumos al departamento del #Beni para reforzar las condiciones de los hospitales.
"
RAZ;REDES;15/05/2020;01:19:00;GOBIERNO;POBLACION;600;;;;OK;;COMPRA;Entregado;"#Bolivia 
La presidenta #Jeanine√ÅÒez informÛ que se comprÛ 600 equipos respiradores. El #BID informÛ que financiÛ la compra y traslado de los equipos 
"
RAZ;REDES;15/05/2020;16:38:35;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;"
#Trinidad
La presidenta de Bolivia, Jeanine √ÅÒez, participa de la entrega de equipamiento e insumos para luchar contra el #coronavirus. "
RAZ;REDES;15/05/2020;14:28:34;GOBIERNO;COCHABAMBA;;;;;OK;;COMPRA;Entregado;"#EnDirecto
El ministro de Trabajo Oscar Mercado, anuncia que en las prÛximas horas la presidenta Jeanine √ÅÒez entregar· a #Cochabamba un lote de equipos mÈdicos para los hospitales centinela del #COVID19 "
RAZ;REDES;15/05/2020;17:30:10;PRIVADO;CHUQUISACA;;;;;OK;OK;DONACION;Entregado;"#Lo⁄ltimo
#Sucre
La empresa Aidisa Bolivia S.A. donÛ un lote de insumos de bioseguridad y camas hospitalarias a la GobernaciÛn de #Chuquisaca. El donativo, que tuvo una inversiÛn Bs 1.4 millones, tiene un alcance nacional. VÌa ABI "
RAZ;REDES;15/05/2020;17:50:04;ALCALDIA;POBLACION;;;;;;OK;COMPRA;Entregado;"#Lo⁄ltimo
#Tarija
La maÒana de este viernes, la AlcaldÌa de #Tarija entregÛ insumos de bioseguridad a la PolicÌa, para la lucha contra el #COVID19. VÌa ABI "
BTV;REDES;16/05/2020;19:42:46;GOBIERNO;CHUQUISACA;10;;;;OK;;COMPRA;Entregado;"
Autoridades de Gobierno y la presidenta JeanineAnez llegan a #Sucre para entregar 10 respiradores para el Hospital Lajastambo, de atenciÛn de casos de #Covid_19.
"
BTV;REDES;16/05/2020;15:50:30;GOBIERNO;ORURO;;;;;OK;OK;COMPRA;Entregado;"#EnVivo 
Autoridades nacionales inspeccionan centro de aislamiento en #Oruro y entregan respiradores, camas e insumos de bioseguridad. "
BTV;REDES;16/05/2020;15:19:13;GOBIERNO;ORURO;;;;;OK;OK;COMPRA;Entregado;"#EnVivo 
Gobierno Nacional entrega insumos de bioseguridad y respiradores al sistema de salud en #Oruro. "
BTV;REDES;16/05/2020;23:44:17;ALCALDIA;LA PAZ;;;;;;OK;COMPRA;Entregado;"La noche del s·bado, la GobernaciÛn de #LaPaz entregÛ a #Caranavi equipos de bioseguridad que les ayudar· en la lucha contra el #coronavirus. 
"
BTV;REDES;16/05/2020;17:57:58;GOBIERNO;CHUQUISACA;10;;;;OK;;COMPRA;Entregado;"La presidenta Constitucional de #Bolivia JeanineAnez entregar· en #Sucre 10 respiradores al sector de salud, con el objetivo de reforzar los centros hospitalarios donde se atienden a los pacientes con #Covid_19, asÌ nos informa nuestro periodista Gonzalo Quiroga. 
"
